Id,Nombre,id_local,x,y
154,CAFETERIA LUMAR,270225619,439562.58,4470804.53
155,CASA ANTONIO,270438394,440979.56,4468755.51
156,MUSEO DEL JAMON,270549067,,
157,DONNER KEBAP USERA,270156565,439541.59,4470847.53
158,R?TULO NO INFORMADO,270473500,439407.59,4470786.53
159,LOCAL PENDIENTE DE VERIFICACION,120000334,440499.56,4468867.52
160,"ALH?BEGA BAR, S.L.",270401857,440022.56,4468909.52
161,CAFETRIA ACUARIO,270537073,439806.57,4469083.52
162,CERVECERIA JUSTI,270044772,439334.59,4470798.53
163,BAR RESTAURANTE,285035919,444716.55,4470234.47
164,TAPAS,280017096,440497.59,4472239.52
165,BAR CERVECERIA DIAZ,270475350,440479.59,4472828.52
166,CERVECERIA 100 MONTADITOS,285005098,441029.58,4472500.52
167,PRYCE CAFE,280018624,439882.59,4472605.53
168,RESTAURANTE ABADIA,20000557,441174.58,4472701.52
169,EL KUBO LOCO,20000566,441036.58,4471519.52
170,COSTELLO R?O,285004782,440774.58,4471714.52
171,CASA VALENTIN,270279687,438883.6,4472897.54
172,KEBAB TRES FUEGOS,270508174,440663.55,4468003.51
173,BAR CAFE LOS PINAZOS,170002043,441260.52,4466085.5
174,SAL Y SAL DE TAPAS,270408288,443100.59,4477584.5
175,CAFETERIA ENXEBRE,270355725,443429.59,4477766.5
176,BAR CALVIN,270451968,442863.58,4475060.5
177,LA CERVEZERIA,270497098,443721.58,4477118.49
178,RESTAURANTE PIMENTON,280018486,439829.59,4472544.53
179,MONTEPINOS,270379037,439441.59,4472802.53
180,RODILLA,20001082,439385.59,4472782.53
181,ARROCERIA IMPERIAL,20000721,439312.59,4472870.53
182,LOS CHIQUITOS BAR DE TAPAS,20000359,440469.59,4472846.53
183,AUTOESCUELA LARA,270444334,440457.59,4472791.53
184,CERVECERIA GUIMAR CAFETERIA,270056880,440952.58,4471949.52
185,TABERNA DEL FERROCARRIL,270287197,440966.58,4472462.52
186,LA SACRISTIA RESTAURANTE,285002998,440630.59,4474730.53
187,AZUL Y ORO,140000420,444784.56,4473066.47
188,BAR MARTINEZ,270490176,440829.54,4467051.51
189,ENTREAMIGOS,170001705,441723.53,4467306.5
190,BAR LA REJA,270433849,440906.55,4467844.51
191,CAFE HILO'S,270308840,442217.53,4467015.49
192,IBERICA BY EL ESQUINAZO,270531125,434951.62,4471220.57
193,MONTON SANZ CAFETERIA RESTAURANTE,270379563,435028.62,4471061.57
194,AUPA BAR,270243228,437085.61,4473254.55
195,EL BARRIL,270074139,442929.58,4475090.5
196,BAHIA,270130826,440403.62,4480965.55
197,RESTAURANTE LA DEHESA IV,280048679,443085.62,4483719.52
198,TABERNA COCINARTE,285016512,439962.64,4483882.56
199,LA MURALLA,285032275,448332.53,4470788.41
